epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.85642,2.21073,6.03973,1.28455,0,0,0,0,1.74297,4.17669,1.18156,0.08812,0.00012,0.00012
2,10.4276,1.90648,2.74084,1.18337,1,0.03846,0.51922,0.31153,1.617,4.01913,1.16829,0.0752451,0.00024505,0.00024505
3,14.5973,1.83891,2.18233,1.18981,1,0.03846,0.51922,0.36346,1.78642,4.36289,1.20825,0.062365,0.000364952,0.000364952
4,18.948,1.8256,1.8327,1.19254,0.72222,0.5,0.59411,0.33427,1.81276,3.95959,1.23541,0.0494797,0.000479706,0.000479706
5,22.4201,1.80119,1.65392,1.22812,0.44444,0.76923,0.66822,0.35185,1.80876,3.41587,1.33203,0.0365893,0.000589312,0.000589312
6,25.9463,1.83963,1.68777,1.15813,0.41667,0.76923,0.61366,0.32561,1.84866,3.47814,1.35767,0.0236938,0.00069377,0.00069377
7,30.6845,1.80658,1.59243,1.18558,0.29268,0.92308,0.67509,0.31351,1.99534,3.03691,1.47174,0.0107931,0.00079308,0.00079308
8,34.363,1.7613,1.40583,1.19214,0.82213,0.35618,0.7014,0.30278,1.77527,2.38664,1.35077,0.0008614,0.0008614,0.0008614
9,37.8121,1.6478,1.36746,1.1784,0.71288,0.69231,0.7764,0.31189,1.83572,1.91649,1.35117,0.0008416,0.0008416,0.0008416
10,41.5765,1.72196,1.45517,1.18224,0.68447,0.65385,0.72661,0.41737,1.66076,1.64586,1.23357,0.0008218,0.0008218,0.0008218
11,46.3615,1.65274,1.35757,1.20583,0.69488,0.57692,0.6888,0.37533,1.67479,1.51218,1.26111,0.000802,0.000802,0.000802
12,49.8623,1.65514,1.25032,1.15138,0.77398,0.65873,0.76879,0.43187,1.57867,1.40644,1.22957,0.0007822,0.0007822,0.0007822
13,53.4468,1.60295,1.27564,1.12087,0.72592,0.76923,0.74896,0.40503,1.75124,1.25125,1.3516,0.0007624,0.0007624,0.0007624
14,57.7449,1.57887,1.17257,1.16808,0.84467,0.80769,0.88516,0.38752,1.84989,1.29902,1.35313,0.0007426,0.0007426,0.0007426
15,62.1554,1.59815,1.16665,1.12316,0.82542,0.72754,0.81761,0.44823,1.77845,1.29546,1.27946,0.0007228,0.0007228,0.0007228
16,65.6193,1.57714,1.10955,1.13518,0.83797,0.79599,0.88727,0.43634,1.75026,1.15039,1.24811,0.000703,0.000703,0.000703
17,69.1114,1.67681,1.20432,1.13593,0.83973,0.80615,0.88139,0.43185,1.81121,1.13792,1.28832,0.0006832,0.0006832,0.0006832
18,73.8878,1.55496,1.07324,1.1093,0.81358,0.84615,0.82946,0.38229,1.93509,1.08418,1.35473,0.0006634,0.0006634,0.0006634
19,77.6033,1.5839,1.08487,1.15918,0.74224,0.80769,0.78532,0.36702,1.95355,1.28889,1.39004,0.0006436,0.0006436,0.0006436
20,81.6134,1.5376,1.02609,1.12485,0.73961,0.73077,0.78826,0.35876,1.95216,1.36831,1.35818,0.0006238,0.0006238,0.0006238
21,85.4161,1.54073,1.01178,1.10994,0.76042,0.61538,0.70245,0.34053,1.94094,1.24901,1.36783,0.000604,0.000604,0.000604
22,89.9542,1.4342,0.9712,1.08874,0.82924,0.80769,0.86645,0.39587,1.93397,1.28863,1.34197,0.0005842,0.0005842,0.0005842
23,93.4355,1.45392,1.0053,1.05397,0.90968,0.88462,0.92767,0.40581,1.94501,1.16705,1.31669,0.0005644,0.0005644,0.0005644
24,97.0487,1.53479,1.02674,1.11835,0.91808,0.88462,0.93649,0.4439,1.88424,1.06675,1.30868,0.0005446,0.0005446,0.0005446
25,101.237,1.40819,1.04274,1.09184,0.78777,0.92308,0.88964,0.40394,1.85628,1.15844,1.29727,0.0005248,0.0005248,0.0005248
